,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002857,三晖电气,13.06,5.58,0.69,-0.46,3.05,0.98,7.03,0.50亿,1.28亿,16.72亿,--
1,2,688597,煜邦电力,9.8,4.92,0.46,0.2,2.49,2.04,4.82,0.59亿,2.47亿,24.21亿,31.31
2,3,002546,新联电子,4.51,4.88,0.21,0.0,2.85,1.43,7.67,1.03亿,8.01亿,36.14亿,27.50
3,4,301179,泽宇智能,20.38,3.93,0.77,0.0,18.33,2.22,5.76,3.13亿,0.86亿,17.52亿,38.97
4,5,002169,智光电气,6.56,3.8,0.24,0.0,3.14,1.29,6.65,1.58亿,7.59亿,49.77亿,--
5,6,300407,凯发电气,11.27,3.77,0.41,0.0,3.59,1.29,5.89,0.99亿,2.44亿,27.53亿,40.45
6,7,300018,中元股份,7.04,2.92,0.2,0.0,4.33,1.0,4.53,1.16亿,3.81亿,26.83亿,38.18
7,8,600268,国电南自,7.09,2.75,0.19,0.0,1.98,1.79,3.62,1.40亿,10.06亿,71.33亿,51.53
8,9,002090,金智科技,9.25,2.55,0.23,0.0,4.06,1.23,4.66,1.49亿,3.96亿,36.63亿,76.02
9,10,300510,金冠股份,4.45,2.54,0.11,-0.22,2.02,0.85,4.61,0.74亿,8.25亿,36.70亿,--
10,11,688611,杭州柯林,34.16,2.49,0.83,0.0,0.53,0.83,5.01,0.20亿,1.10亿,37.43亿,86.54
11,12,603050,科林电气,21.38,2.3,0.48,-0.19,0.97,1.28,4.07,0.56亿,2.73亿,58.26亿,29.34
12,13,300222,科大智能,10.58,1.44,0.15,0.19,4.68,0.84,3.74,3.17亿,6.36亿,67.26亿,204.63
13,14,300514,友讯达,15.3,1.26,0.19,0.0,3.7,0.96,2.45,0.90亿,1.58亿,24.24亿,14.41
14,15,688616,西力科技,10.72,1.23,0.13,-0.09,0.63,0.65,3.12,0.12亿,1.79亿,19.23亿,19.24
15,16,835508,殷图网联,27.8,1.13,0.31,0.0,5.6,1.24,8.88,0.42亿,0.26亿,7.24亿,--
16,17,601126,四方股份,17.14,0.94,0.16,0.0,0.97,0.91,2.42,1.36亿,8.19亿,140.35亿,17.59
17,18,300882,万胜智能,16.26,0.87,0.14,-0.06,1.31,1.04,3.35,0.58亿,2.66亿,43.30亿,32.35
18,19,000400,许继电气,28.3,0.85,0.24,0.0,1.48,0.93,2.53,4.23亿,10.08亿,285.36亿,24.17
19,20,002339,积成电子,7.39,0.82,0.06,-0.14,8.63,0.47,2.87,3.08亿,4.79亿,35.38亿,--
20,21,300427,红相股份,6.16,0.82,0.05,0.0,2.46,0.73,2.46,0.76亿,4.95亿,30.48亿,--
21,22,688450,光格科技,22.34,0.63,0.14,-0.09,1.38,0.65,3.42,0.12亿,0.37亿,8.35亿,--
22,23,688330,宏力达,27.16,0.56,0.15,-0.15,0.43,0.68,1.93,0.16亿,1.40亿,38.02亿,19.16
23,24,688681,科汇股份,11.26,0.54,0.06,0.0,1.45,0.66,3.93,0.17亿,1.05亿,11.79亿,57.05
24,25,603556,海兴电力,37.23,0.41,0.15,0.03,0.39,0.54,1.32,0.71亿,4.89亿,181.94亿,17.24
25,26,688191,智洋创新,17.95,0.39,0.07,-0.11,0.88,0.72,2.8,0.25亿,1.54亿,27.67亿,56.44
26,27,000682,东方电子,10.55,0.38,0.04,0.0,0.71,1.03,1.9,1.01亿,13.41亿,141.43亿,25.19
27,28,430556,雅达股份,7.64,0.26,0.02,0.0,8.59,2.28,10.89,0.79亿,1.18亿,9.03亿,50.32
28,29,300880,迦南智能,23.21,0.17,0.04,0.0,2.57,0.91,3.45,1.17亿,1.94亿,45.06亿,19.62
29,30,002980,华盛昌,26.37,0.15,0.04,0.27,1.04,0.77,1.48,0.20亿,0.72亿,18.94亿,24.34
30,31,600406,国电南瑞,25.07,0.04,0.01,0.0,0.18,0.77,1.48,3.65亿,79.84亿,2001.71亿,33.77
31,32,870299,灿能电力,10.46,-0.29,-0.03,0.0,3.67,0.51,4.1,0.17亿,0.45亿,4.66亿,52.31
32,33,300286,安科瑞,20.83,-0.81,-0.17,0.05,2.95,1.06,1.95,1.08亿,1.76亿,36.57亿,21.17
33,34,300360,炬华科技,17.01,-0.87,-0.15,0.0,2.47,1.23,2.04,2.12亿,5.00亿,85.09亿,12.11
34,35,688663,新风光,23.13,-0.98,-0.23,-0.17,1.64,0.8,2.57,0.54亿,1.40亿,32.37亿,20.36
35,36,002121,科陆电子,4.69,-1.26,-0.06,-0.21,2.3,0.58,3.58,1.54亿,14.00亿,65.66亿,--
36,37,831175,派诺科技,17.79,-6.61,-1.26,0.0,22.75,2.16,13.33,2.13亿,0.50亿,8.89亿,265.52
