,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603032,德新科技,14.01,9.97,1.27,231372,320183101.0,9.42,14.01,12.81,12.88,12.74,10.05,210.59,2.61
1,2,300648,星云股份,18.14,4.31,0.75,56403,100224305.6,6.5,18.18,17.05,17.52,17.39,5.31,-33.06,3.26
2,3,300477,合纵科技,2.37,2.16,0.05,161002,37510169.0,4.31,2.38,2.28,2.3,2.32,1.72,-9.52,1.5
3,4,002733,雄韬股份,10.82,1.22,0.13,23699,25295804.0,2.71,10.84,10.55,10.65,10.69,0.64,28.94,1.56
4,5,002160,常铝股份,2.99,1.01,0.03,78030,23118901.0,2.7,3.0,2.92,2.97,2.96,0.98,48.74,0.85
5,6,002824,和胜股份,13.56,0.82,0.11,45595,61217181.39,4.61,13.75,13.13,13.46,13.45,2.41,63.36,2.29
6,7,002594,比亚迪,249.65,-0.13,-0.33,61248,1533462723.87,1.67,252.8,248.62,250.0,249.98,0.53,26.64,5.09
7,8,000868,安凯客车,4.6,-0.22,-0.01,284548,130670103.44,3.04,4.66,4.52,4.59,4.61,3.88,297.73,5.03
8,9,300568,星源材质,7.25,-1.23,-0.09,201921,145380913.56,3.54,7.36,7.1,7.36,7.34,1.66,20.1,1.0
9,10,600210,紫江企业,4.98,-1.58,-0.08,172696,85660229.0,3.95,5.09,4.89,5.08,5.06,1.14,10.66,1.31
10,11,300438,鹏辉能源,23.62,-2.56,-0.62,437126,1034840385.28,5.86,24.62,23.2,24.05,24.24,10.82,142.63,2.2
11,12,002466,天齐锂业,24.93,-2.66,-0.68,283725,707499399.85,5.51,25.85,24.44,25.79,25.61,1.92,-3.93,0.92
